source,position,company,location,category,career_text,employment_type,url
jobkorea,[아우디 고진모터스] 인사총무팀 보건관리자 채용,고진모터스㈜,서울 동대문구,보건관리자,신입,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/49988973
jobkorea,대한산업보건협회 경북지역본부 보건관리국 기한직(산업위생사) 채용,㈔대한산업보건협회,경북 경산시,보건관리자,경력무관,계약직,https://www.jobkorea.co.kr/Recruit/GI_Read/49953978
jobkorea,[ASE KOREA] 반도체 제조 / 보건관리자 / Engineer / Sales 직무 채용,에이에스이코리아㈜,경기 파주시 외,보건관리자,신입,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/49981911
jobkorea,[팀장급] 마리아의료재단 안전보건팀 총괄 팀장 채용,의료법인마리아의료재단,서울 동대문구,보건관리자,경력 5년 이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/49976134
jobkorea,[비알코리아] 보건관리 담당 계약직 모집,비알코리아㈜,서울 서초구,보건관리자,경력 2년 이상,계약직,https://www.jobkorea.co.kr/Recruit/GI_Read/49973812
jobkorea,(주)대두식품 보건관리자 신입/경력직 채용,㈜대두식품,전북 군산시,보건관리자,경력무관,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/49972494
jobkorea,2026년 하반기 Proactive Leaders 신입 채용 [Engineering] - SHE(보건),한국타이어앤테크놀로지,충남 금산군,보건관리자,신입,,https://www.jobkorea.co.kr/Recruit/GI_Read/49966807
jobkorea,"경력사원 정규직 채용 (공무, 안전, 보건)",신영씨앤디,서울 강남구 외,보건관리자,,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/49965088
jobkorea,"한국안전평생교육원 안전보건교육 강사 (산업안전지도사,기술사)모집 공고",㈜한국안전평생교육원,서울 금천구,보건관리자,경력 3년 이상,,https://www.jobkorea.co.kr/Recruit/GI_Read/49964815
jobkorea,"안전보건관리, 항만운항, 해외법인지원(GHR) 경력직 채용",에이치엠엠㈜,부산 동구,보건관리자,경력 3년 이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/49962813
jobkorea,2026년 보건관리자 계약직 채용,㈜에이치시티,경기 이천시,보건관리자,신입,계약직,https://www.jobkorea.co.kr/Recruit/GI_Read/49962763
jobkorea,(주) 클리오 보건관리자 모집,㈜클리오,서울 성동구,보건관리자,경력 1년 이상,,https://www.jobkorea.co.kr/Recruit/GI_Read/49961708
jobkorea,계룡건설 춘천속초 6공구 현장 보건관리자 구인,계룡건설산업㈜,강원 인제군,보건관리자,경력무관,계약직,https://www.jobkorea.co.kr/Recruit/GI_Read/49953376
jobkorea,화천기계(주) 안전보건 관리자 수시채용,화천기계㈜,경남 창원시,보건관리자,신입,인턴,https://www.jobkorea.co.kr/Recruit/GI_Read/49951228
jobkorea,채비(주) 보건관리자 채용,채비㈜,경북 구미시,보건관리자,경력 3년 이상,계약직,https://www.jobkorea.co.kr/Recruit/GI_Read/49946643
jobkorea,[리치몬트코리아] 총무 및 보건관리자 정규직 채용 (신입 가능),㈜리치몬트코리아,서울 강남구,보건관리자,신입,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/49945844
jobkorea,강원특별자치도 공공보건의료지원단  직원 채용 재공고,강원도공공보건의료지원단,강원 춘천시,보건관리자,경력무관,계약직,https://www.jobkorea.co.kr/Recruit/GI_Read/49927940
jobkorea,순천/영주/하동 건설현장 보건관리자 채용,두산에너빌리티㈜,경남 하동군 외,보건관리자,경력무관,계약직,https://www.jobkorea.co.kr/Recruit/GI_Read/49927345
jobkorea,지에스건설(주) 제2경춘국도현장 보건관리자 채용공고,지에스건설㈜,경기 가평군,보건관리자,경력 2년 이상,계약직,https://www.jobkorea.co.kr/Recruit/GI_Read/49924197
